"Numero";"Nimi";"Pullokoko";"Hinta";"Litrahinta";"Tyyppi";"Luonnehdinta";"Pakkaustyyppi";"ProsAlkohol";"EurPerLAlkohol"
"945096";"Adrianna Vineyard Fortuna Terrae Malbec 2015";"0.75";"84.96";"113.28";"punaviinit";"Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, aromikas";"pullo";"14.0";"809.14"
"935635";"Adrianna Vineyard River Stones Malbec 2016";"0.75";"124.91";"166.55";"punaviinit";"Täyteläinen, tanniininen, boysenmarjainen, mustikkainen, vadelmainen";"pullo";"13.5";"1233.68"
"440567";"Alamos Malbec Organic 2019";"0.75";"10.99";"14.52";"punaviinit";"Täyteläinen, keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen";"pullo";"13.5";"108.54"
"424107";"Alamos Tempranillo 2016";"0.75";"10.99";"14.52";"punaviinit";"Keskitäyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, karpaloinen, mokkainen, hennon yrttinen";"pullo";"12.5";"117.23"
"921767";"Argento Organic Malbec Reserva 2015";"0.75";"14.98";"19.84";"punaviinit";"Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen";"pullo";"14.0";"142.67"
"402217";"Argento Paraje Altamira Organic Malbec 2014";"0.75";"30.27";"40.36";"punaviinit";"Täyteläinen, tanniininen, tumman kirsikkainen, karhunvatukkainen, viikunainen, kevyen orvokkinen, mausteinen, tyylikäs, tasapainoinen";"pullo";"14.0";"288.29"
"941387";"Argento Reserva Cabernet Franc 2014";"0.75";"14.99";"19.99";"punaviinit";"Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen";"pullo";"14.0";"142.76"
"451687";"Argento Seleccion Malbec 2018";"0.75";"10.48";"13.84";"punaviinit";"Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen";"pullo";"13.5";"103.51"
"924067";"Beefsteak Club Malbec 2019";"0.75";"10.99";"14.52";"punaviinit";"Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen";"pullo";"13.5";"108.54"
"903027";"Beefsteak Club Reserve Malbec 2016";"0.75";"24.99";"33.32";"punaviinit";"Täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen";"pullo";"14.5";"229.79"
"454597";"BenMarco Expresivo 2017";"0.75";"29.99";"39.85";"punaviinit";"Täyteläinen, tanniininen, herukkainen, viikunainen, boysenmarjainen, luumuinen, kevyen suklainen, tamminen";"pullo";"14.5";"275.77"
"954657";"Bodega Piedra Negra Malbec Alta Coleccion 2019";"0.75";"12.90";"17.07";"punaviinit";"Täyteläinen, tanniininen, marjainen, mausteinen";"pullo";"14.0";"122.86"
"430097";"Bodega Piedra Negra Merlot Reserve 2015";"0.75";"13.69";"18.12";"punaviinit";"Täyteläinen, tanniininen, herukkahilloinen, tumman luumuinen, mausteinen, hennon mokkainen, tamminen";"pullo";"14.5";"125.89"
"935176";"Bodega Vistalba Arido Malbec 2017";"0.75";"14.70";"19.6";"punaviinit";"Täyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, nahkainen";"pullo";"14.5";"135.17"
"004551";"Caballo de Mendoza";"0.75";"7.59";"9.99";"punaviinit";"Keskitäyteläinen, keskitanniininen, kevyen kirsikkainen, mansikkainen, mausteinen";"pullo";"14.0";"72.29"
"487307";"Cameleon Organic Cabernet Sauvignon 2019";"0.75";"10.99";"14.52";"punaviinit";"Täyteläinen, keskitanniininen, herukkainen, kirsikkainen, karhunvatukkainen, kevyen kaakaoinen, paahteinen";"pullo";"14.0";"104.67"
"931718";"Caro 2015";"0.75";"54.98";"73.31";"punaviinit";"Täyteläinen, tanniininen, luumuinen, mokkainen, setrinen";"pullo";"14.0";"523.62"
"930018";"Catena Alta Cabernet Sauvignon 2009";"0.75";"39.98";"53.17";"punaviinit";"Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen";"pullo";"14.0";"380.76"
"438717";"Catena Cabernet Sauvignon 2015";"0.75";"15.98";"21.17";"punaviinit";"Täyteläinen, tanniininen, hapankirsikkainen, herukkainen, kevyen lääkeyrttinen, hennon tamminen";"pullo";"13.0";"163.9"
"906487";"Catena Malbec 2017";"0.75";"19.00";"25.33";"punaviinit";"Täyteläinen, tanniininen, marjainen, mausteinen";"pullo";"13.5";"187.65"
"496077";"Chakana Nuna Tetrada 2019";"0.75";"15.99";"21.19";"punaviinit";"Täyteläinen, tanniininen, karhunvatukkainen, luumuinen, tumman kirsikkainen, kevyen oliivinen, mustapippurinen, tamminen";"pullo";"14.0";"152.29"
"480037";"Chakana Nuna Vineyard Cabernet Franc 2018";"0.75";"14.98";"19.84";"punaviinit";"Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen";"pullo";"14.0";"142.67"
